,LotFrontage,LotArea,Utilities,MasVnrType,MasVnrArea,HouseStyle,Heating,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,Electrical,1stFlrSF,2ndFlrSF,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
361,,9144,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Rec,399,Unf,0,SBrkr,988,517,0,Detchd,Unf,1,240,TA,TA,0,0,0,0,0,WD,Normal,145000
362,64.0,7301,AllPub,BrkFace,500.0,SFoyer,GasA,,,,,0,,0,SBrkr,495,1427,1,BuiltIn,RFn,2,672,TA,TA,0,0,177,0,0,ConLD,Normal,198500
363,21.0,1680,AllPub,BrkFace,510.0,2Story,GasA,TA,TA,No,ALQ,162,Unf,0,SBrkr,483,504,0,Detchd,Unf,1,264,TA,TA,250,0,0,0,0,WD,Normal,118000
364,,18800,AllPub,BrkFace,120.0,2Story,GasA,Gd,TA,Mn,GLQ,712,Unf,0,SBrkr,790,784,1,Attchd,Fin,2,566,TA,TA,306,111,0,0,0,WD,Normal,190000
365,59.0,10690,AllPub,None,0.0,2Story,GasA,TA,Fa,No,Rec,456,Unf,0,FuseA,672,672,0,Detchd,Unf,1,468,TA,Fa,0,128,218,0,0,WD,Normal,147000
366,,9500,AllPub,BrkFace,247.0,1Story,GasA,Gd,TA,No,BLQ,609,Unf,0,SBrkr,1394,0,2,Attchd,RFn,2,514,TA,TA,0,76,0,0,185,WD,Normal,159000
367,101.0,9150,AllPub,BrkFace,305.0,SLvl,GasA,Gd,TA,Gd,GLQ,371,Unf,0,SBrkr,1431,0,1,Basment,RFn,1,296,TA,TA,64,110,0,0,0,WD,Normal,165000
368,78.0,7800,AllPub,BrkFace,200.0,1Story,GasA,TA,TA,No,LwQ,540,Unf,0,SBrkr,1268,0,1,Attchd,Fin,1,244,TA,TA,0,98,0,0,0,WD,Normal,132000
369,,9830,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,72,Rec,258,SBrkr,1287,0,1,Detchd,Fin,2,576,TA,TA,364,17,0,0,182,WD,Normal,162000
370,,8121,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,953,711,1,Attchd,RFn,2,460,TA,TA,100,40,0,0,0,WD,Normal,172400
371,80.0,17120,AllPub,None,0.0,1.5Fin,GasA,,,,,0,,0,SBrkr,1120,468,1,Detchd,Fin,2,680,TA,TA,0,59,0,0,0,WD,Normal,134432
372,50.0,7175,AllPub,None,0.0,1Story,GasA,Gd,TA,No,ALQ,623,LwQ,121,SBrkr,752,0,0,Attchd,Unf,1,264,TA,TA,353,0,0,0,90,WD,Normal,125000
373,79.0,10634,AllPub,None,0.0,1Story,GasA,TA,TA,No,BLQ,428,LwQ,180,SBrkr,1319,0,0,Attchd,Unf,1,270,TA,TA,66,0,0,0,0,WD,Normal,123000
374,65.0,8200,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,847,1081,1,BuiltIn,Fin,2,434,TA,TA,100,48,0,0,0,WD,Normal,219500
375,,10020,AllPub,None,0.0,1Story,GasA,Fa,Po,Gd,BLQ,350,Unf,0,FuseA,904,0,0,,,0,0,,,0,0,0,0,0,WD,Normal,61000
376,57.0,8846,AllPub,None,0.0,SFoyer,GasA,Gd,TA,Av,GLQ,298,Unf,0,SBrkr,914,0,0,Detchd,Unf,2,576,TA,TA,0,0,0,0,0,WD,Normal,148000
377,102.0,11143,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1580,886,1,Attchd,RFn,2,610,TA,TA,159,214,0,0,0,WD,Normal,340000
378,88.0,11394,AllPub,Stone,350.0,1Story,GasA,Ex,TA,Av,GLQ,1445,Unf,0,SBrkr,1856,0,1,Attchd,Fin,3,834,TA,TA,113,0,0,0,0,New,Partial,394432
379,60.0,8123,AllPub,BrkFace,16.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1007,793,1,Attchd,Fin,2,463,TA,TA,100,63,0,0,0,WD,Normal,179000
380,50.0,5000,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,LwQ,218,Unf,0,SBrkr,1026,665,1,Detchd,Unf,1,308,TA,TA,0,0,242,0,0,WD,Normal,127000
381,60.0,7200,AllPub,None,0.0,1Story,GasA,Gd,Gd,No,Unf,0,Unf,0,SBrkr,1301,0,1,Attchd,RFn,2,572,TA,TA,216,121,0,0,0,New,Partial,187750
382,79.0,9245,AllPub,None,0.0,2Story,GasA,Gd,TA,Av,Unf,0,Unf,0,SBrkr,939,858,0,Attchd,RFn,2,639,TA,TA,144,53,0,0,0,WD,Normal,213500
383,60.0,9000,AllPub,None,0.0,1.5Unf,GasA,Fa,Fa,No,Unf,0,Unf,0,FuseA,784,0,0,Detchd,Unf,2,360,Fa,Fa,0,0,91,0,0,WD,Normal,76000
384,,53107,AllPub,None,0.0,2Story,GasA,Gd,TA,Av,GLQ,985,Unf,0,SBrkr,1079,874,2,Attchd,Fin,2,501,TA,TA,216,231,0,0,0,WD,Normal,240000
385,43.0,3182,AllPub,BrkFace,16.0,1Story,GasA,Gd,TA,No,GLQ,24,Unf,0,SBrkr,1269,0,1,Attchd,Fin,2,430,TA,TA,146,20,0,0,144,WD,Normal,192000
386,58.0,8410,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,658,526,0,,,0,0,,,0,151,0,0,0,WD,AdjLand,81000
387,72.0,7200,AllPub,BrkFace,255.0,SLvl,GasA,TA,TA,Av,ALQ,631,Unf,0,SBrkr,1125,0,1,Detchd,Unf,1,352,TA,TA,296,0,0,0,0,WD,Abnorml,125000
388,93.0,9382,AllPub,BrkFace,125.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1479,0,0,Attchd,RFn,2,577,TA,TA,120,25,0,0,0,WD,Normal,191000
389,96.0,12474,AllPub,Stone,272.0,2Story,GasA,Ex,TA,Av,GLQ,1280,Unf,0,SBrkr,1742,590,1,BuiltIn,Fin,3,846,TA,TA,196,134,0,0,0,New,Partial,426000
390,50.0,8405,AllPub,None,0.0,1.5Fin,GasA,TA,Gd,No,Rec,241,BLQ,391,SBrkr,961,406,0,Detchd,Unf,1,384,TA,TA,0,130,112,0,0,WD,Normal,119000
391,71.0,12209,AllPub,None,0.0,2Story,GasA,Ex,TA,No,ALQ,690,Unf,0,SBrkr,804,1157,1,BuiltIn,Fin,2,560,TA,TA,125,192,0,0,0,WD,Normal,215000
392,,8339,AllPub,None,0.0,1Story,GasA,,,,,0,,0,SBrkr,882,0,0,Attchd,RFn,1,294,TA,TA,0,0,0,0,0,WD,Normal,106500
393,,7446,AllPub,None,0.0,1Story,GasA,TA,TA,No,Rec,266,Unf,0,FuseA,788,0,2,,,0,0,,,0,0,0,0,0,WD,Abnorml,100000
394,60.0,10134,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,735,299,0,Detchd,Unf,1,240,TA,TA,0,39,0,0,0,WD,Normal,109000
395,68.0,9571,AllPub,None,0.0,1Story,GasA,TA,TA,Av,BLQ,739,Unf,0,SBrkr,1144,0,0,Attchd,Unf,1,596,TA,TA,44,0,0,0,0,WD,Normal,129000
396,60.0,7200,AllPub,None,0.0,1Story,GasA,TA,TA,Av,Rec,777,Unf,0,SBrkr,894,0,0,Detchd,RFn,2,600,TA,TA,215,0,0,0,0,WD,Normal,123000
397,69.0,7590,AllPub,BrkFace,288.0,2Story,GasA,TA,TA,No,ALQ,540,Unf,0,SBrkr,876,936,1,Attchd,RFn,1,264,TA,TA,0,168,0,0,0,WD,Normal,169500
398,60.0,8967,AllPub,None,0.0,1Story,GasA,Fa,Po,No,Unf,0,Unf,0,Mix,1077,0,0,Detchd,Unf,1,338,Po,Po,0,0,0,0,0,WD,Abnorml,67000
399,65.0,8125,AllPub,Stone,100.0,2Story,GasA,Gd,TA,No,GLQ,812,Unf,0,SBrkr,1112,438,0,Attchd,Fin,2,438,TA,TA,0,168,0,0,0,WD,Normal,241000
400,38.0,14963,AllPub,None,0.0,1Story,GasA,Gd,TA,No,GLQ,786,Unf,0,SBrkr,1288,0,2,Attchd,Fin,2,500,TA,TA,120,30,0,0,224,WD,Normal,245500
401,65.0,8767,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,GLQ,24,Unf,0,SBrkr,1310,0,1,Attchd,Fin,2,400,TA,TA,0,0,0,0,0,New,Partial,164990
402,60.0,10200,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,672,0,0,Detchd,Unf,1,240,TA,TA,168,0,0,0,0,WD,Normal,108000
403,93.0,12090,AllPub,BrkFace,650.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1165,1098,1,BuiltIn,Fin,2,420,TA,TA,144,123,0,0,0,WD,Abnorml,258000
404,,10364,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,806,766,1,BuiltIn,Fin,2,373,TA,TA,0,40,0,0,0,WD,Normal,168000
405,,9991,AllPub,None,0.0,1Story,GasA,TA,TA,No,BLQ,1116,Unf,0,SBrkr,1620,0,1,Attchd,Unf,2,490,TA,TA,120,78,0,0,0,WD,Normal,150000
406,51.0,10480,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,1166,0,0,Detchd,Unf,1,240,TA,TA,0,0,0,0,0,WD,Normal,115000
407,63.0,15576,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,840,840,0,Attchd,Unf,1,308,TA,TA,0,0,160,0,0,WD,Normal,177000
408,109.0,14154,AllPub,BrkFace,350.0,2Story,GasA,Ex,Gd,No,Unf,0,Unf,0,SBrkr,1071,1101,1,Attchd,RFn,3,947,TA,TA,192,62,0,0,0,New,Partial,280000
409,85.0,10800,AllPub,Stone,100.0,2Story,GasA,Ex,TA,No,GLQ,789,Unf,0,SBrkr,1050,1028,1,Attchd,Fin,3,836,TA,TA,0,102,0,0,0,New,Partial,339750
410,68.0,9571,AllPub,None,0.0,1Story,GasA,TA,Fa,No,Unf,0,Unf,0,FuseA,1276,0,0,Attchd,Unf,1,350,TA,TA,0,0,0,0,0,COD,Abnorml,60000
411,100.0,34650,AllPub,None,0.0,1Story,GasA,TA,TA,Mn,Rec,1056,Unf,0,SBrkr,1056,0,0,Attchd,Fin,2,572,TA,TA,264,0,0,0,0,WD,Normal,145000
412,,4403,AllPub,Stone,432.0,1Story,GasA,Ex,TA,Av,GLQ,578,Unf,0,SBrkr,1478,0,1,Attchd,Fin,2,484,TA,TA,0,144,0,0,0,New,Partial,222000
413,56.0,8960,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,1028,0,1,Detchd,Unf,2,360,TA,TA,0,0,130,0,0,WD,Normal,115000
414,59.0,11228,AllPub,None,0.0,2Story,GasA,Gd,TA,No,BLQ,50,GLQ,531,SBrkr,1080,1017,1,Attchd,Unf,3,678,TA,TA,196,187,0,0,0,WD,Normal,228000
415,73.0,8899,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,GLQ,24,Unf,0,SBrkr,1340,0,0,Attchd,Fin,2,396,TA,TA,100,30,0,0,0,New,Partial,181134
416,74.0,7844,AllPub,BrkFace,203.0,2Story,GasA,TA,TA,No,ALQ,209,Unf,0,SBrkr,672,728,1,Attchd,Fin,2,440,TA,TA,0,0,0,0,0,WD,Normal,149500
417,86.0,22420,AllPub,None,0.0,2Story,GasW,Gd,TA,No,BLQ,1128,Unf,0,FuseA,1370,1254,1,Detchd,Unf,3,864,TA,TA,0,0,0,0,0,WD,Normal,239000
418,60.0,8160,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,ALQ,312,Unf,0,FuseF,756,378,0,Detchd,Unf,1,240,TA,TA,0,0,0,0,0,WD,AdjLand,126000
419,65.0,8450,AllPub,None,0.0,1Story,GasA,TA,TA,No,BLQ,775,Unf,0,SBrkr,1056,0,1,Attchd,Unf,1,304,TA,TA,0,85,184,0,0,WD,Normal,142000
420,78.0,7060,AllPub,BrkFace,200.0,SFoyer,GasA,Gd,Gd,Gd,GLQ,1309,Unf,0,SBrkr,1344,0,0,Attchd,Fin,4,784,TA,TA,0,0,0,0,0,WD,Alloca,206300
421,,16635,AllPub,Stone,126.0,1Story,GasA,Gd,TA,No,ALQ,1246,Unf,0,SBrkr,1602,0,1,Attchd,Fin,2,529,TA,TA,240,0,0,0,0,WD,Normal,215000
422,100.0,21750,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,988,0,0,Attchd,RFn,2,520,TA,TA,0,0,0,0,0,WD,Normal,113000
423,80.0,9200,AllPub,BrkFace,473.0,2Story,GasA,Gd,TA,No,GLQ,986,Unf,0,SBrkr,1470,1160,1,Attchd,Fin,3,696,TA,TA,0,66,0,0,0,WD,Normal,315000
424,72.0,9000,AllPub,BrkFace,74.0,1Story,GasA,Gd,TA,No,LwQ,616,Unf,0,FuseA,1196,0,1,Attchd,RFn,1,297,TA,TA,0,44,0,0,0,WD,Normal,139000
425,60.0,3378,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,707,682,2,Detchd,Unf,1,240,TA,TA,0,0,126,0,0,WD,Normal,135000
426,,12800,AllPub,BrkFace,145.0,SLvl,GasA,Gd,TA,Gd,GLQ,1518,Unf,0,SBrkr,1644,0,1,Attchd,Fin,2,569,TA,TA,80,0,0,0,396,WD,Normal,275000
427,77.0,8593,AllPub,None,0.0,1Story,GasA,TA,TA,No,Rec,288,Unf,0,SBrkr,907,0,0,Detchd,Unf,1,352,TA,TA,0,0,0,0,0,WD,Normal,109008
428,64.0,6762,AllPub,BrkFace,108.0,1Story,GasA,Gd,TA,No,GLQ,664,Unf,0,SBrkr,1208,0,0,Attchd,RFn,2,628,TA,TA,105,54,0,0,0,New,Partial,195400
429,130.0,11457,AllPub,None,0.0,1Story,GasA,Gd,TA,Mn,GLQ,1005,Unf,0,SBrkr,1412,0,1,Attchd,Unf,2,576,TA,TA,0,0,169,0,0,WD,Normal,175000
430,21.0,1680,AllPub,BrkFace,232.0,2Story,GasA,TA,TA,No,ALQ,387,Unf,0,SBrkr,483,504,0,Detchd,Unf,1,264,TA,TA,0,0,0,0,0,COD,Abnorml,85400
431,60.0,5586,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1088,110,0,,,0,0,,,0,98,0,0,0,ConLD,Abnorml,79900
432,24.0,1920,AllPub,BrkFace,376.0,2Story,GasA,TA,TA,No,ALQ,471,Unf,0,SBrkr,765,600,0,Detchd,Unf,2,440,TA,TA,240,36,0,0,0,WD,Normal,122500
433,100.0,10839,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,926,678,1,Attchd,Fin,2,470,TA,TA,0,36,0,0,0,WD,Normal,181000
434,21.0,1890,AllPub,None,0.0,SFoyer,GasA,Gd,TA,Av,ALQ,495,Unf,0,SBrkr,630,0,0,,,0,0,,,88,0,0,0,0,WD,Normal,81000
435,43.0,10667,AllPub,None,0.0,2Story,GasA,Gd,TA,Av,GLQ,385,ALQ,344,SBrkr,827,834,1,Attchd,RFn,2,550,TA,TA,158,61,0,0,0,ConLw,Normal,212000
436,40.0,4400,AllPub,None,0.0,1.5Fin,GasA,Fa,TA,No,Unf,0,Unf,0,FuseA,734,384,0,Detchd,Unf,2,440,TA,TA,0,0,0,0,0,WD,Normal,116000
437,50.0,6000,AllPub,None,0.0,1.5Unf,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,904,0,0,Detchd,Unf,1,180,TA,TA,0,0,105,0,0,WD,Normal,119000
438,40.0,4280,AllPub,None,0.0,1Story,GasA,TA,TA,No,LwQ,365,Unf,0,SBrkr,694,0,1,Detchd,Unf,1,352,Gd,TA,0,0,34,0,0,WD,Normal,90350
439,67.0,12354,AllPub,None,0.0,1.5Fin,GasA,TA,Fa,Mn,Unf,0,Unf,0,SBrkr,684,512,0,Detchd,Unf,2,528,TA,TA,0,46,0,0,0,ConLI,Normal,110000
440,105.0,15431,AllPub,Stone,200.0,1Story,GasA,Ex,TA,Gd,GLQ,1767,ALQ,539,SBrkr,2402,0,2,Attchd,Fin,3,672,TA,TA,0,72,0,0,170,WD,Normal,555000
441,92.0,12108,AllPub,BrkFace,270.0,1Story,GasA,TA,TA,No,ALQ,133,Unf,0,FuseF,1440,0,0,,,0,0,,,0,0,0,0,0,WD,Normal,118000
442,52.0,6240,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1128,445,1,Detchd,Unf,2,360,TA,TA,0,0,0,0,0,WD,Normal,162900
443,53.0,3922,AllPub,BrkFace,72.0,1Story,GasA,Ex,TA,Av,Unf,0,Unf,0,SBrkr,1258,0,1,Attchd,Fin,3,648,TA,TA,144,16,0,0,0,New,Partial,172500
444,70.0,8750,AllPub,None,0.0,2Story,GasA,Gd,TA,No,GLQ,642,Unf,0,SBrkr,933,975,1,Attchd,Unf,2,493,TA,TA,144,133,0,0,0,WD,Normal,210000
445,73.0,9855,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1689,0,1,Attchd,Unf,2,480,TA,TA,0,0,0,0,0,COD,Normal,127500
446,137.0,16492,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,247,Rec,713,SBrkr,1888,0,1,Attchd,Fin,2,578,TA,TA,0,0,0,0,0,WD,Normal,190000
447,,11214,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,956,930,1,Attchd,Fin,2,431,TA,TA,89,0,0,0,0,WD,Normal,199900
448,50.0,8600,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,780,596,1,Detchd,Unf,1,198,TA,TA,0,0,0,0,0,WD,Normal,119500
449,50.0,6000,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,ALQ,331,Unf,0,SBrkr,679,504,0,Detchd,Unf,1,308,TA,TA,0,176,0,0,0,WD,Normal,120000
450,70.0,5684,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,813,0,0,Detchd,Unf,1,270,Fa,Fa,0,113,0,0,0,WD,Normal,110000
451,62.0,70761,AllPub,None,0.0,1Story,GasA,Gd,TA,Gd,ALQ,655,Unf,0,SBrkr,1533,0,2,Attchd,Unf,2,576,TA,TA,200,54,0,0,0,WD,Normal,280000
452,,9303,AllPub,BrkFace,42.0,2Story,GasA,Ex,TA,No,ALQ,742,Unf,0,SBrkr,888,868,0,Attchd,Fin,2,422,TA,TA,144,122,0,0,0,WD,Normal,204000
453,75.0,9000,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,786,804,0,Attchd,RFn,2,676,TA,TA,0,30,0,0,0,WD,Normal,210000
454,63.0,9297,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,1606,Unf,0,SBrkr,1728,0,0,Detchd,Unf,2,560,TA,TA,0,0,0,0,0,WD,Family,188000
455,80.0,9600,AllPub,BrkFace,320.0,1Story,GasA,TA,TA,No,ALQ,916,Unf,0,SBrkr,1242,0,1,Attchd,Unf,2,528,TA,TA,0,0,0,0,0,WD,Normal,175500
456,34.0,4571,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,624,720,0,Detchd,Unf,3,513,Fa,Fa,0,0,96,0,0,COD,Abnorml,98000
457,,53227,AllPub,None,0.0,1Story,GasA,Gd,TA,Gd,BLQ,1116,Unf,0,SBrkr,1663,0,2,Attchd,Fin,2,529,TA,TA,224,137,0,0,0,WD,Normal,256000
458,,5100,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,833,833,1,Detchd,Unf,1,228,TA,TA,192,63,0,0,0,WD,Normal,161000
459,,7015,AllPub,BrkCmn,161.0,1.5Fin,GasA,TA,TA,No,LwQ,185,Unf,0,SBrkr,979,224,1,Detchd,Unf,1,352,TA,TA,0,0,248,0,0,WD,Normal,110000
460,75.0,8004,AllPub,Stone,110.0,2Story,GasA,Gd,TA,No,GLQ,544,Unf,0,SBrkr,832,1103,0,BuiltIn,Fin,2,552,TA,TA,0,150,0,0,0,New,Partial,263435
461,60.0,7200,AllPub,None,0.0,2Story,GasA,Gd,Gd,No,ALQ,350,BLQ,210,SBrkr,575,560,0,Detchd,RFn,2,576,TA,TA,256,0,0,0,0,WD,Normal,155000
462,60.0,8281,AllPub,None,0.0,1Story,GasA,TA,TA,No,Rec,553,BLQ,311,SBrkr,864,0,1,Detchd,Unf,1,360,TA,TA,0,0,236,0,0,WD,Normal,62383
463,74.0,11988,AllPub,None,0.0,2Story,GasA,TA,TA,No,LwQ,326,Unf,0,FuseA,849,811,1,Detchd,Unf,1,240,TA,TA,0,0,0,0,0,WD,Normal,188700
464,60.0,8430,AllPub,BrkFace,136.0,1Story,GasA,Gd,TA,No,Rec,616,Unf,0,SBrkr,1040,0,0,,,0,0,,,0,0,0,0,0,WD,Normal,124000
465,,3072,AllPub,BrkFace,18.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1414,0,1,Attchd,Fin,2,398,TA,TA,144,20,0,0,0,WD,Normal,178740
466,85.0,10628,AllPub,None,0.0,1Story,GasA,TA,Gd,Gd,GLQ,778,Unf,0,SBrkr,1277,0,1,Attchd,Unf,2,526,TA,TA,0,0,0,0,176,WD,Normal,167000
467,79.0,9480,AllPub,Stone,224.0,2Story,GasA,TA,TA,No,LwQ,386,Unf,0,SBrkr,888,756,2,Attchd,Unf,1,312,TA,TA,168,0,0,0,0,WD,Normal,146500
468,98.0,11428,AllPub,Stone,248.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1634,0,1,Attchd,RFn,3,866,TA,TA,0,44,0,0,0,WD,Normal,250000
469,76.0,9291,AllPub,BrkFace,120.0,2Story,GasA,Gd,TA,No,GLQ,426,Unf,0,SBrkr,832,878,0,Attchd,RFn,2,506,TA,TA,144,70,0,0,0,WD,Normal,187000
470,,6820,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,GLQ,368,BLQ,1120,SBrkr,1502,0,0,Attchd,RFn,2,528,TA,TA,0,54,0,0,140,WD,Normal,212000
471,92.0,11952,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1161,808,1,Attchd,RFn,2,534,TA,TA,0,0,0,0,276,WD,Normal,190000
472,35.0,3675,AllPub,BrkFace,80.0,SLvl,GasA,Gd,TA,Gd,GLQ,459,Unf,0,SBrkr,1072,0,0,Basment,RFn,2,525,TA,TA,0,28,0,0,0,WD,Normal,148000
473,110.0,14977,AllPub,BrkFace,304.0,1Story,GasA,Ex,TA,Gd,GLQ,1350,Unf,0,SBrkr,1976,0,1,Attchd,RFn,3,908,TA,TA,250,63,0,0,0,New,Partial,440000
474,41.0,5330,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,GLQ,1196,Unf,0,SBrkr,1652,0,0,Attchd,RFn,2,499,TA,TA,96,48,0,0,0,WD,Normal,251000
475,80.0,8480,AllPub,None,0.0,1Story,GasA,TA,TA,No,GLQ,630,Unf,0,SBrkr,970,0,0,Detchd,Unf,2,624,TA,TA,0,24,0,0,192,WD,Normal,132500
476,75.0,13125,AllPub,BrkFace,215.0,1Story,GasA,Gd,TA,Gd,GLQ,994,Unf,0,SBrkr,1493,0,1,Attchd,Fin,2,508,TA,TA,140,39,0,0,0,WD,Normal,208900
477,105.0,13693,AllPub,BrkFace,772.0,2Story,GasA,Gd,TA,Av,Unf,0,Unf,0,SBrkr,2069,574,1,BuiltIn,Fin,3,694,TA,TA,414,84,0,0,0,WD,Normal,380000
478,79.0,10637,AllPub,Stone,336.0,1Story,GasA,Ex,TA,Gd,GLQ,1288,Unf,0,SBrkr,1718,0,1,Attchd,RFn,3,826,TA,TA,208,44,0,0,0,WD,Normal,297000
479,50.0,5925,AllPub,BrkCmn,435.0,1Story,GasA,Fa,TA,No,Rec,168,Unf,0,SBrkr,1131,0,0,Detchd,Unf,2,672,TA,TA,0,72,0,0,0,WD,Alloca,89471
480,98.0,16033,AllPub,BrkFace,378.0,1Story,GasA,Ex,TA,Gd,GLQ,1261,Unf,0,SBrkr,1850,0,1,Attchd,Fin,3,772,TA,TA,519,112,0,0,0,WD,Normal,326000
481,72.0,11846,AllPub,BrkFace,562.0,1Story,GasA,Ex,TA,Gd,GLQ,1567,Unf,0,SBrkr,1792,0,1,Attchd,Fin,3,874,TA,TA,206,49,0,0,0,WD,Normal,374000
482,50.0,2500,AllPub,None,0.0,2Story,GasA,TA,TA,No,ALQ,299,Unf,0,SBrkr,916,910,1,Attchd,Unf,1,164,Fa,Fa,0,0,0,0,0,WD,Normal,155000
483,32.0,4500,AllPub,BrkFace,116.0,1Story,GasA,Ex,TA,No,GLQ,897,Unf,0,SBrkr,1216,0,0,Attchd,Unf,2,402,TA,TA,0,125,0,0,0,WD,Normal,164000
484,,7758,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,588,Unf,0,SBrkr,999,0,0,Detchd,Unf,1,264,TA,TA,0,132,0,0,0,WD,Normal,132500
485,80.0,9600,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,607,Unf,0,SBrkr,1113,0,1,Attchd,Unf,1,264,TA,TA,0,80,120,0,0,WD,Normal,147000
486,79.0,10289,AllPub,BrkFace,168.0,1Story,GasA,TA,TA,No,ALQ,836,Unf,0,SBrkr,1073,0,0,Attchd,RFn,2,515,TA,TA,0,0,0,0,0,WD,Normal,156000
487,70.0,12243,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,ALQ,998,Unf,0,SBrkr,1484,0,1,Attchd,Unf,2,487,TA,TA,224,0,0,0,180,WD,Normal,175000
488,60.0,10800,AllPub,None,0.0,1.5Fin,GasA,TA,Fa,No,BLQ,664,Unf,0,FuseA,1766,648,1,Attchd,Unf,2,520,TA,Fa,142,0,0,0,0,ConLD,Normal,160000
489,21.0,1526,AllPub,None,0.0,SFoyer,GasA,Gd,TA,Av,GLQ,515,Unf,0,SBrkr,630,0,0,Attchd,Unf,1,286,TA,TA,0,0,0,0,0,WD,Normal,86000
490,,2665,AllPub,None,0.0,2Story,GasA,Gd,TA,Mn,Unf,0,Unf,0,SBrkr,616,688,1,BuiltIn,Fin,1,336,TA,TA,141,24,0,0,0,WD,Normal,115000
491,79.0,9490,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,BLQ,403,Rec,165,FuseA,958,620,2,Attchd,Unf,1,240,TA,TA,0,0,32,0,0,WD,Normal,133000
492,105.0,15578,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,728,728,0,Attchd,RFn,2,429,TA,TA,0,0,0,0,0,New,Partial,172785
493,70.0,7931,AllPub,None,0.0,1Story,GasA,TA,TA,No,BLQ,374,LwQ,532,FuseA,1269,0,1,Detchd,Unf,1,308,TA,TA,0,0,0,0,0,WD,Normal,155000
494,50.0,5784,AllPub,None,0.0,1Story,GasA,Fa,TA,No,Unf,0,Unf,0,FuseA,886,0,0,Attchd,Unf,1,273,TA,TA,144,20,80,0,0,WD,Normal,91300
